ZIP CODE	STATE	MSA No.	GPCI	GPCI	GPCI	County No.	MSA Name
00210	NH	14460	1.000	1.046	0.658	015	Boston-Cambridge-Quincy, MA-NH MSA
00211	NH	14460	1.000	1.046	0.658	015	Boston-Cambridge-Quincy, MA-NH MSA
00212	NH	14460	1.000	1.046	0.658	015	Boston-Cambridge-Quincy, MA-NH MSA
00213	NH	14460	1.000	1.046	0.658	015	Boston-Cambridge-Quincy, MA-NH MSA
00214	NH	14460	1.000	1.046	0.658	015	Boston-Cambridge-Quincy, MA-NH MSA
00215	NH	14460	1.000	1.046	0.658	015	Boston-Cambridge-Quincy, MA-NH MSA
00501	NY	35620	1.050	1.278	1.335	103	New York-Northern New Jersey-Long Island, NY-NJ-PA MSA
00544	NY	35620	1.050	1.278	1.335	103	New York-Northern New Jersey-Long Island, NY-NJ-PA MSA
00601	PR	99072	1.000	0.845	0.249	001	PR NONMETROPOLITAN AREA
00602	PR	10380	1.000	0.845	0.249	003	Aguadilla-Isabela-San Sebastian, PR MSA
00603	PR	10380	1.000	0.845	0.249	005	Aguadilla-Isabela-San Sebastian, PR MSA
00604	PR	10380	1.000	0.845	0.249	005	Aguadilla-Isabela-San Sebastian, PR MSA
00605	PR	10380	1.000	0.845	0.249	005	Aguadilla-Isabela-San Sebastian, PR MSA
00606	PR	99072	1.000	0.845	0.249	093	PR NONMETROPOLITAN AREA
00610	PR	10380	1.000	0.845	0.249	011	Aguadilla-Isabela-San Sebastian, PR MSA
00611	PR	99072	1.000	0.845	0.249	141	PR NONMETROPOLITAN AREA
00612	PR	41980	1.000	0.845	0.249	013	San Juan-Caguas-Guaynabo, PR MSA
00613	PR	41980	1.000	0.845	0.249	013	San Juan-Caguas-Guaynabo, PR MSA
00614	PR	41980	1.000	0.845	0.249	013	San Juan-Caguas-Guaynabo, PR MSA
00616	PR	41980	1.000	0.845	0.249	013	San Juan-Caguas-Guaynabo, PR MSA
00617	PR	41980	1.000	0.845	0.249	017	San Juan-Caguas-Guaynabo, PR MSA
00622	PR	41900	1.000	0.845	0.249	023	San German-Cabo Rojo, PR MSA
00623	PR	41900	1.000	0.845	0.249	023	San German-Cabo Rojo, PR MSA
00624	PR	49500	1.000	0.845	0.249	111	Yauco, PR MSA
00627	PR	41980	1.000	0.845	0.249	027	San Juan-Caguas-Guaynabo, PR MSA
00631	PR	10380	1.000	0.845	0.249	081	Aguadilla-Isabela-San Sebastian, PR MSA
00636	PR	41900	1.000	0.845	0.249	125	San German-Cabo Rojo, PR MSA
00637	PR	41900	1.000	0.845	0.249	121	San German-Cabo Rojo, PR MSA
00638	PR	41980	1.000	0.845	0.249	039	San Juan-Caguas-Guaynabo, PR MSA
00641	PR	99072	1.000	0.845	0.249	141	PR NONMETROPOLITAN AREA
00646	PR	41980	1.000	0.845	0.249	051	San Juan-Caguas-Guaynabo, PR MSA
00647	PR	49500	1.000	0.845	0.249	055	Yauco, PR MSA
00650	PR	41980	1.000	0.845	0.249	054	San Juan-Caguas-Guaynabo, PR MSA
00652	PR	41980	1.000	0.845	0.249	013	San Juan-Caguas-Guaynabo, PR MSA
00653	PR	49500	1.000	0.845	0.249	055	Yauco, PR MSA
00656	PR	49500	1.000	0.845	0.249	059	Yauco, PR MSA
00659	PR	41980	1.000	0.845	0.249	065	San Juan-Caguas-Guaynabo, PR MSA
00660	PR	32420	1.000	0.845	0.249	067	Mayaguez, PR MSA
00662	PR	10380	1.000	0.845	0.249	071	Aguadilla-Isabela-San Sebastian, PR MSA
00664	PR	99072	1.000	0.845	0.249	073	PR NONMETROPOLITAN AREA
00667	PR	41900	1.000	0.845	0.249	079	San German-Cabo Rojo, PR MSA
00669	PR	10380	1.000	0.845	0.249	081	Aguadilla-Isabela-San Sebastian, PR MSA
00670	PR	99072	1.000	0.845	0.249	083	PR NONMETROPOLITAN AREA
00674	PR	41980	1.000	0.845	0.249	091	San Juan-Caguas-Guaynabo, PR MSA
00676	PR	10380	1.000	0.845	0.249	099	Aguadilla-Isabela-San Sebastian, PR MSA
00677	PR	10380	1.000	0.845	0.249	117	Aguadilla-Isabela-San Sebastian, PR MSA
00678	PR	41980	1.000	0.845	0.249	115	San Juan-Caguas-Guaynabo, PR MSA
00680	PR	32420	1.000	0.845	0.249	097	Mayaguez, PR MSA
00681	PR	32420	1.000	0.845	0.249	097	Mayaguez, PR MSA
00682	PR	32420	1.000	0.845	0.249	097	Mayaguez, PR MSA
00683	PR	41900	1.000	0.845	0.249	125	San German-Cabo Rojo, PR MSA
00685	PR	10380	1.000	0.845	0.249	131	Aguadilla-Isabela-San Sebastian, PR MSA
00687	PR	41980	1.000	0.845	0.249	101	San Juan-Caguas-Guaynabo, PR MSA
00688	PR	41980	1.000	0.845	0.249	013	San Juan-Caguas-Guaynabo, PR MSA
00690	PR	10380	1.000	0.845	0.249	005	Aguadilla-Isabela-San Sebastian, PR MSA
00692	PR	41980	1.000	0.845	0.249	143	San Juan-Caguas-Guaynabo, PR MSA
00693	PR	41980	1.000	0.845	0.249	145	San Juan-Caguas-Guaynabo, PR MSA
00694	PR	41980	1.000	0.845	0.249	145	San Juan-Caguas-Guaynabo, PR MSA
00698	PR	49500	1.000	0.845	0.249	153	Yauco, PR MSA
00703	PR	41980	1.000	0.845	0.249	007	San Juan-Caguas-Guaynabo, PR MSA
00704	PR	25020	1.000	0.845	0.249	057	Guayama, PR MSA
00705	PR	41980	1.000	0.845	0.249	009	San Juan-Caguas-Guaynabo, PR MSA
00707	PR	41980	1.000	0.845	0.249	095	San Juan-Caguas-Guaynabo, PR MSA
00714	PR	25020	1.000	0.845	0.249	015	Guayama, PR MSA
00715	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00716	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00717	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00718	PR	41980	1.000	0.845	0.249	103	San Juan-Caguas-Guaynabo, PR MSA
00719	PR	41980	1.000	0.845	0.249	105	San Juan-Caguas-Guaynabo, PR MSA
00720	PR	41980	1.000	0.845	0.249	107	San Juan-Caguas-Guaynabo, PR MSA
00721	PR	41980	1.000	0.845	0.249	119	San Juan-Caguas-Guaynabo, PR MSA
00723	PR	25020	1.000	0.845	0.249	109	Guayama, PR MSA
00725	PR	41980	1.000	0.845	0.249	025	San Juan-Caguas-Guaynabo, PR MSA
00726	PR	41980	1.000	0.845	0.249	025	San Juan-Caguas-Guaynabo, PR MSA
00727	PR	41980	1.000	0.845	0.249	025	San Juan-Caguas-Guaynabo, PR MSA
00728	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00729	PR	41980	1.000	0.845	0.249	029	San Juan-Caguas-Guaynabo, PR MSA
00730	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00731	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00732	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00733	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00734	PR	38660	1.000	0.845	0.249	113	Ponce, PR MSA
00735	PR	21940	1.000	0.845	0.249	037	Fajardo, PR MSA
00736	PR	41980	1.000	0.845	0.249	035	San Juan-Caguas-Guaynabo, PR MSA
00737	PR	41980	1.000	0.845	0.249	035	San Juan-Caguas-Guaynabo, PR MSA
